time,id,x,y,0,1,2,3,4,5,6,7,8
1,45,385843.0,6671576.0,-48.29,-32.98,-7.2,-27.14,20.73,-22.19,-20.45,-27.58,-31.37
1,47,385614.0,6671732.0,-27.47,-12.59,-5.65,-10.52,3.83,4.82,-12.96,-4.82,-0.87
1,48,385812.0,6671565.0,-36.06,-20.74,-7.82,-25.99,12.67,-10.03,-1.71,-8.03,-13.24
1,49,385965.0,6671382.0,-45.02,-30.32,9.62,-6.73,3.5,-28.06,-20.81,-20.47,-33.11
1,5,385677.0,6672010.0,0.73,-7.4,-3.23,-22.32,5.87,1.97,-23.63,-23.28,-15.11
1,50,385354.0,6672023.0,-1.67,-21.55,-1.37,-10.18,-1.32,-11.18,-14.85,-2.89,6.34
1,51,385572.0,6671697.0,-28.81,-12.24,-1.06,-9.75,6.25,0.71,-14.44,-6.12,-1.34
1,52,385277.0,6671346.0,-54.64,-12.54,-23.17,-9.85,-11.24,-4.82,8.72,-7.13,2.29
1,54,386216.0,6671810.0,-44.39,-14.56,-28.0,-44.27,-25.85,28.0,-46.13,-39.24,-41.98
1,55,385627.0,6672131.0,19.4,-26.24,-15.41,-33.66,-7.63,-11.71,-34.63,-29.03,-24.16
1,56,385588.0,6671549.0,-44.71,-4.89,-13.01,-14.42,-3.34,8.3,-21.23,0.71,-4.4
1,57,386086.0,6671470.0,-39.51,-4.52,0.52,-11.92,9.04,-3.37,-9.93,-11.22,-21.69
1,59,385348.0,6671904.0,-3.74,-35.94,-12.3,-13.9,-11.81,-16.54,-23.02,1.32,9.52
1,6,385593.0,6672121.0,27.2,-31.07,-23.76,-41.95,-16.04,-17.91,-42.91,-36.37,-31.96
1,60,386116.0,6671645.0,-51.09,6.85,-27.26,-36.82,-27.31,7.13,-36.97,-38.08,-48.3
1,61,385853.0,6671256.0,-52.7,-26.23,18.58,-6.0,-14.18,-27.9,-16.9,-16.45,-28.8
1,62,385729.0,6671162.0,-60.98,-29.59,-5.56,-7.67,-21.74,-34.27,-15.01,16.84,-26.47
1,63,386120.0,6671617.0,-50.65,7.61,-24.82,-34.59,-24.74,6.36,-34.67,-35.83,-46.05
1,64,385905.0,6671729.0,-26.64,-18.4,-6.91,-25.09,16.93,-6.07,-21.57,-26.63,-29.4
1,65,385820.0,6671317.0,-41.23,-27.71,9.8,2.73,-5.62,-26.49,-15.58,-12.1,-27.16
1,67,386012.0,6671580.0,-49.19,-27.79,19.35,-13.11,-19.88,-6.56,-31.19,-32.46,-42.81
1,68,385551.0,6672183.0,9.98,-13.07,-8.34,-26.42,0.49,-2.19,-27.22,-29.07,-23.67
1,69,385401.0,6671427.0,-54.52,-9.92,-28.5,-16.98,-8.06,-0.15,-12.4,-2.44,10.01
1,7,386078.0,6671796.0,-44.41,-7.76,-26.27,-41.88,-23.62,21.56,-44.44,-37.02,-40.04
1,71,385706.0,6671210.0,-63.32,-46.21,-20.65,6.41,-30.93,-43.92,-22.1,7.54,-32.58
1,73,386223.0,6671870.0,-44.72,-17.59,-24.75,-41.14,-22.98,29.74,-43.21,-36.38,-39.09
1,74,385911.0,6671471.0,-50.88,-40.03,-11.56,-34.43,25.34,-33.49,-29.0,-28.73,-41.15
1,75,385875.0,6671526.0,-48.89,-37.06,-12.3,-32.74,26.06,-26.47,-39.96,-40.18,-50.07
1,76,385511.0,6671784.0,-23.83,-11.13,0.54,-8.69,0.08,-6.46,-14.43,-4.82,6.75
1,77,385564.0,6671715.0,-27.09,-13.1,0.29,-8.46,10.11,-6.14,-13.26,-9.79,-7.66
1,78,385824.0,6671317.0,-42.62,-29.62,5.86,6.95,-7.55,-28.42,-12.92,-9.44,-24.52
1,79,385784.0,6671843.0,-15.18,-12.0,-5.2,-23.5,4.31,7.94,-25.48,-15.09,-12.08
1,8,385742.0,6671650.0,-35.29,-7.03,-8.57,-26.94,2.5,9.56,-29.8,-10.38,-13.2
1,80,386236.0,6671392.0,-43.14,-3.8,-4.72,-4.89,-19.75,12.44,-18.1,-16.79,-29.53
1,81,385907.0,6671657.0,-30.04,-25.69,-8.4,-26.99,20.77,-14.22,-18.69,-24.49,-31.38
1,82,385892.0,6671612.0,-37.49,-28.21,-9.04,-28.08,21.62,-17.1,-17.64,-24.11,-28.57
1,85,386015.0,6671571.0,-49.27,-28.52,19.79,-12.99,-19.4,-7.18,-30.93,-32.2,-42.57
1,86,385489.0,6671485.0,-48.82,-8.61,-22.97,-11.69,-7.05,2.7,-18.62,7.51,-2.05
1,87,386118.0,6671685.0,-51.39,5.99,-16.4,-31.46,-22.87,7.9,-29.35,-34.7,-40.93
1,88,385728.0,6671157.0,-60.07,-26.59,-2.04,-7.21,-17.43,-29.96,-10.67,13.89,-22.19
1,9,385631.0,6671446.0,-49.32,-21.84,-14.23,-12.91,-1.25,-11.28,6.76,3.48,-6.88
1,90,386137.0,6671527.0,-47.59,6.28,-12.58,-23.2,-12.04,7.21,-23.19,-24.45,-34.72
1,91,386173.0,6671625.0,-48.01,5.62,-15.64,-25.22,-15.65,7.79,-25.44,-26.55,-36.77
1,93,385748.0,6671906.0,-9.25,-15.64,-3.8,-22.62,5.42,6.6,-24.32,-26.39,-18.15
1,94,385400.0,6671675.0,-39.86,-34.97,-21.58,-10.16,-25.8,-22.84,-18.49,21.43,-13.35
1,95,386115.0,6671788.0,-47.26,-2.9,-31.53,-47.3,-28.65,16.87,-52.98,-42.02,-44.95
1,96,385517.0,6671880.0,-24.17,-35.28,-10.1,-17.31,-8.17,-28.73,-22.25,1.5,10.43
1,97,386128.0,6671332.0,-52.61,4.85,3.33,-1.96,-10.29,0.23,-14.89,-13.88,-26.73
1,98,385287.0,6671849.0,-25.4,-38.2,-22.27,-10.0,-35.16,-32.46,-19.39,18.96,-7.52
2,0,386118.0,6671521.0,-51.25,7.35,-19.18,-30.17,-19.76,6.55,-30.18,-27.88,-41.39
2,1,385423.0,6671609.0,-46.7,-22.07,-21.85,-10.93,-7.21,-3.11,-20.52,6.4,4.99
2,10,385644.0,6671882.0,-27.34,-15.98,2.87,-18.32,9.57,-9.03,-23.1,-14.04,-7.43
2,11,386287.0,6671871.0,-41.64,-15.93,-23.35,-38.26,-21.36,28.08,-41.33,-34.85,-37.45
2,12,385367.0,6671696.0,-44.34,-17.71,-24.55,-12.88,-19.98,-12.83,-22.34,2.3,11.03
