,time,id,x,y,speed,east,north,coor,sinr,site
217,50,1,1875.38,826.63,8.2,386122,6671391,3861226671391,6.1333,12
218,50,2,1778.59,710.7,6.66,386026,6671275,3860266671275,17.8448,6
219,50,3,1312.59,585.14,8.47,385560,6671149,3855606671149,8.5696,9
220,50,4,1525.25,1353.65,7.09,385772,6671918,3857726671918,4.1499,10
221,50,5,1467.49,1233.25,6.23,385715,6671798,3857156671798,6.2406,8
222,50,6,1126.24,711.73,7.95,385373,6671276,3853736671276,17.0464,11
223,50,7,1848.88,1302.15,7.75,386096,6671866,3860966671866,26.9015,3
224,51,0,1416.49,1470.08,7.89,385664,6672034,3856646672034,10.9159,10
225,51,1,1875.57,820.07,6.66,386123,6671384,3861236671384,4.9386,4
226,51,2,1778.35,717.53,6.84,386025,6671282,3860256671282,18.1929,6
227,51,3,1319.5,589.64,8.24,385567,6671154,3855676671154,8.7964,9
228,51,4,1520.78,1359.98,7.67,385768,6671924,3857686671924,3.4998,10
229,51,5,1461.83,1229.5,6.79,385709,6671794,3857096671794,14.0383,2
230,51,6,1132.42,716.34,7.74,385379,6671281,3853796671281,14.9899,11
231,51,7,1840.57,1301.99,8.32,386088,6671866,3860886671866,25.9811,3
232,52,0,1421.22,1463.53,8.09,385668,6672028,3856686672028,12.1963,10
233,52,1,1875.77,811.63,8.44,386123,6671376,3861236671376,5.3280,4
234,52,2,1778.11,724.17,6.65,386025,6671289,3860256671289,18.4857,6
235,52,3,1326.65,594.29,8.53,385574,6671159,3855746671159,8.4326,9
236,52,4,1516.6,1365.91,7.17,385764,6671930,3857646671930,2.6489,10
237,52,5,1455.92,1225.63,7.07,385703,6671790,3857036671790,12.1975,2
238,52,6,1139.09,720.93,8.13,385386,6671285,3853866671285,13.6558,11
239,52,7,1832.11,1301.82,8.56,386079,6671866,3860796671866,26.6041,3
240,53,0,1426.14,1456.7,8.4,385673,6672021,3856736672021,12.8764,10
241,53,1,1876.0,803.42,8.22,386123,6671368,3861236671368,6.1360,4
242,53,2,1777.08,730.59,6.56,386024,6671295,3860246671295,18.6643,6
243,53,3,1334.1,599.14,8.89,385581,6671163,3855816671163,8.9367,9
244,53,4,1512.32,1371.94,7.3,385759,6671936,3857596671936,2.8565,10
245,53,5,1450.26,1221.94,6.77,385697,6671786,3856976671786,11.2490,2
246,53,6,1145.87,725.59,8.26,385393,6671290,3853936671290,12.1201,11
247,53,7,1824.24,1301.67,7.87,386071,6671866,3860716671866,27.7298,3
248,54,0,1431.06,1449.63,8.58,385678,6672014,3856786672014,13.5014,10
249,54,1,1876.31,795.69,7.74,386123,6671360,3861236671360,7.5417,4
250,54,2,1777.09,736.62,6.04,386024,6671301,3860246671301,19.9692,6
251,54,3,1341.58,604.01,8.93,385589,6671168,3855896671168,8.0571,9
252,54,4,1508.43,1377.28,6.58,385755,6671942,3857556671942,6.0654,10
253,54,5,1444.97,1218.59,6.25,385692,6671783,3856926671783,9.4431,8
254,54,6,1152.67,730.27,8.28,385400,6671295,3854006671295,10.4172,11
255,54,7,1816.19,1301.51,8.05,386063,6671866,3860636671866,27.2517,3
256,55,0,1435.28,1443.39,7.55,385682,6672008,3856826672008,14.0034,10
257,55,1,1876.61,788.16,7.53,386124,6671353,3861246671353,9.4110,4
258,55,2,1776.84,743.45,6.84,386024,6671308,3860246671308,26.2648,6
259,55,3,1348.41,608.46,8.14,385595,6671173,3855956671173,9.9023,9
260,55,4,1504.3,1382.53,6.69,385751,6671947,3857516671947,10.6054,10
261,55,5,1439.43,1214.99,6.61,385686,6671779,3856866671779,10.2776,2
262,55,6,1159.3,734.84,8.06,385406,6671299,3854066671299,9.0035,11
263,55,7,1808.62,1301.36,7.57,386056,6671866,3860566671866,27.7339,3
264,56,0,1440.21,1436.27,8.67,385687,6672001,3856876672001,14.4670,10
265,56,1,1876.91,780.55,7.62,386124,6671345,3861246671345,9.4879,4
266,56,2,1776.62,749.31,5.85,386024,6671314,3860246671314,26.3458,6
267,56,3,1355.85,613.31,8.89,385603,6671178,3856036671178,11.0354,9
268,56,4,1499.29,1386.99,7.0,385746,6671951,3857466671951,7.9143,10
269,56,5,1433.32,1211.04,7.27,385680,6671775,3856806671775,8.0176,2
270,56,6,1165.88,739.36,7.99,385413,6671304,3854136671304,9.4978,11
271,56,7,1800.87,1301.2,7.75,386048,6671866,3860486671866,28.4567,3
272,57,0,1445.19,1429.25,8.64,385692,6671994,3856926671994,15.4427,10
