,time,vehicle,x,y,east,north,coor,sinr,site
143,4,10,1349.99,1556.92,385598,6672122,3855986672122,10.3221,5
144,4,11,1039.67,1164.37,385287,6671729,3852876671729,4.2083,7
145,4,12,1734.59,1299.99,385982,6671865,3859826671865,23.6964,3
146,4,13,1606.62,1295.82,385854,6671861,3858546671861,5.3117,3
147,4,14,1771.4,832.38,386019,6671397,3860196671397,26.0473,6
148,4,15,1977.19,916.28,386225,6671481,3862256671481,28.0733,12
149,4,16,1772.24,886.61,386020,6671451,3860206671451,8.3985,6
150,4,17,1784.18,1110.54,386032,6671675,3860326671675,11.0965,3
151,4,18,1542.35,799.59,385790,6671364,3857906671364,6.1161,6
152,4,19,1100.74,1315.59,385348,6671880,3853486671880,7.7470,7
153,4,2,1975.87,978.0,386223,6671543,3862236671543,25.6331,12
154,4,20,1925.1,964.61,386173,6671529,3861736671529,32.6789,12
155,4,21,1881.1,549.99,386129,6671115,3861296671115,6.7995,4
156,4,22,1795.86,1112.06,386043,6671677,3860436671677,11.8284,3
157,4,23,1017.72,1009.66,385265,6671575,3852656671575,18.0388,1
158,4,24,1405.92,1299.82,385653,6671865,3856536671865,5.8391,7
159,4,25,1039.0,1297.24,385287,6671862,3852876671862,10.4829,5
160,4,26,1882.33,1232.52,386130,6671797,3861306671797,16.4348,3
161,4,27,1234.09,673.24,385482,6671238,3854826671238,10.6768,11
162,4,28,1227.81,1461.44,385475,6672026,3854756672026,14.4430,5
163,4,29,1776.79,665.54,386024,6671230,3860246671230,16.7756,6
164,4,3,1865.12,1218.37,386113,6671783,3861136671783,10.3877,3
165,4,30,1263.53,627.78,385511,6671193,3855116671193,7.4755,11
166,4,31,1550.57,1276.94,385798,6671842,3857986671842,12.6590,8
167,4,32,1258.01,799.6,385506,6671364,3855066671364,10.7283,2
168,4,33,1845.12,1235.47,386093,6671800,3860936671800,25.8874,3
169,4,34,1299.65,957.87,385547,6671523,3855476671523,2.5026,8
170,4,35,1105.41,874.66,385353,6671440,3853536671440,10.0891,1
