,time,vehicle,x,y,east,north,coor,sinr,site
118,15,6,1109.26,695.67,385357,6671261,3.85358E+12,19.132,11
119,15,7,1872.5,1302.69,386120,6671868,3.86121E+12,4.5219,3
120,16,0,1402.41,1489.69,385650,6672055,3.85651E+12,1.4596,10
121,16,1,1874.94,843.09,386122,6671408,3.86123E+12,1.3512,4
122,16,2,1779.07,697.18,386027,6671262,3.86028E+12,10.4054,6
123,16,3,1299.24,575.48,385547,6671140,3.85548E+12,-0.6883,9
124,16,4,1533.1,1341.8,385781,6671907,3.85782E+12,-2.9658,10
125,16,5,1478.6,1240.57,385726,6671805,3.85727E+12,-1.458,8
126,16,6,1114.24,701.21,385362,6671266,3.85363E+12,17.9976,11
127,16,7,1864.72,1302.48,386112,6671867,3.86113E+12,1.2863,3
128,17,0,1407.21,1482.94,385655,6672048,3.85656E+12,2.9118,10
129,17,1,1875.16,834.82,386123,6671400,3.86124E+12,0.1254,4
130,17,2,1778.82,704.04,386026,6671269,3.86027E+12,10.6492,6
131,17,3,1305.5,580.51,385553,6671145,3.85554E+12,-0.461,9
132,17,4,1529.38,1347.79,385777,6671913,3.85778E+12,-2.9557,10
133,17,5,1472.69,1236.67,385720,6671802,3.85721E+12,-1.7777,8
134,17,6,1120.28,706.51,385368,6671271,3.85369E+12,15.4728,11
135,17,7,1856.63,1302.31,386104,6671867,3.86105E+12,13.4525,3
136,18,0,1411.87,1476.48,385659,6672041,3.8566E+12,2.3225,10
137,18,1,1875.38,826.63,386123,6671391,3.86124E+12,-1.1561,12
138,18,2,1778.59,710.7,386026,6671276,3.86027E+12,10.8675,6
139,18,3,1312.59,585.14,385560,6671150,3.85561E+12,1.3724,9
140,18,4,1525.25,1353.65,385773,6671918,3.85774E+12,-3.072,10
141,18,5,1467.49,1233.25,385715,6671798,3.85716E+12,-0.8969,8
142,18,6,1126.24,711.73,385374,6671277,3.85375E+12,8.8669,11
143,18,7,1848.88,1302.15,386096,6671867,3.86097E+12,20.0298,3
144,19,0,1416.49,1470.08,385664,6672035,3.85665E+12,3.6163,10
145,19,1,1875.57,820.07,386123,6671385,3.86124E+12,-1.5051,4
146,19,2,1778.35,717.53,386026,6671282,3.86027E+12,11.1748,6
147,19,3,1319.5,589.64,385567,6671154,3.85568E+12,1.8055,9
148,19,4,1520.78,1359.98,385768,6671925,3.85769E+12,-3.792,10
149,19,5,1461.83,1229.5,385709,6671794,3.8571E+12,6.9555,2
150,19,6,1132.42,716.34,385380,6671281,3.85381E+12,7.8348,11
151,19,7,1840.57,1301.99,386088,6671867,3.86089E+12,19.1449,3
152,20,0,1421.22,1463.53,385669,6672028,3.8567E+12,5.0675,10
153,20,1,1875.77,811.63,386123,6671376,3.86124E+12,-1.6711,4
154,20,2,1778.11,724.17,386026,6671289,3.86027E+12,11.4472,6
155,20,3,1326.65,594.29,385574,6671159,3.85575E+12,1.4401,9
156,20,4,1516.6,1365.91,385764,6671931,3.85765E+12,-4.5894,10
157,20,5,1455.92,1225.63,385703,6671790,3.85704E+12,5.132,2
158,20,6,1139.09,720.93,385387,6671286,3.85388E+12,6.4368,11
159,20,7,1832.11,1301.82,386080,6671867,3.86081E+12,19.8263,3
160,21,0,1426.14,1456.7,385674,6672022,3.85675E+12,5.6329,10
161,21,1,1876,803.42,386124,6671368,3.86125E+12,-0.6899,4
162,21,2,1777.08,730.59,386025,6671295,3.86026E+12,11.6142,6
163,21,3,1334.1,599.14,385582,6671164,3.85583E+12,1.0849,9
164,21,4,1512.32,1371.94,385760,6671937,3.85761E+12,-3.1152,7
165,21,5,1450.26,1221.94,385698,6671787,3.85699E+12,5.053,2
166,21,6,1145.87,725.59,385393,6671290,3.85394E+12,5.1221,11
167,21,7,1824.24,1301.67,386072,6671867,3.86073E+12,20.6075,3
168,22,0,1431.06,1449.63,385679,6672014,3.8568E+12,6.2967,10
169,22,1,1876.31,795.69,386124,6671361,3.86125E+12,0.5063,4
170,22,2,1777.09,736.62,386025,6671301,3.86026E+12,11.7975,6
171,22,3,1341.58,604.01,385589,6671169,3.8559E+12,0.9844,9
172,22,4,1508.43,1377.28,385756,6671942,3.85757E+12,-3.4879,10
173,22,5,1444.97,1218.59,385693,6671783,3.85694E+12,4.4962,8
174,22,6,1152.67,730.27,385400,6671295,3.85401E+12,3.4199,11
175,22,7,1816.19,1301.51,386064,6671866,3.86065E+12,20.0301,3
176,23,0,1435.28,1443.39,385683,6672008,3.85684E+12,6.7865,10
177,23,1,1876.61,788.16,386124,6671353,3.86125E+12,2.4152,4
178,23,2,1776.84,743.45,386024,6671308,3.86025E+12,19.2502,6
179,23,3,1348.41,608.46,385596,6671173,3.85597E+12,2.1744,9
180,23,4,1504.3,1382.53,385752,6671947,3.85753E+12,3.4157,10
181,23,5,1439.43,1214.99,385687,6671780,3.85688E+12,1.8254,2
182,23,6,1159.3,734.84,385407,6671300,3.85408E+12,2.104,11
183,23,7,1808.62,1301.36,386056,6671866,3.86057E+12,20.7353,3
184,24,0,1440.21,1436.27,385688,6672001,3.85689E+12,7.638,10
185,24,1,1876.91,780.55,386124,6671345,3.86125E+12,2.4914,4
186,24,2,1776.62,749.31,386024,6671314,3.86025E+12,19.3304,6
187,24,3,1355.85,613.31,385603,6671178,3.85604E+12,4.0424,9
188,24,4,1499.29,1386.99,385747,6671952,3.85748E+12,1.2827,10
189,24,5,1433.32,1211.04,385681,6671776,3.85682E+12,2.078,2
190,24,6,1165.88,739.36,385413,6671304,3.85414E+12,2.4968,11
191,24,7,1800.87,1301.2,386048,6671866,3.86049E+12,21.458,3
192,25,0,1445.19,1429.25,385693,6671994,3.85694E+12,8.3279,10
193,25,1,1877.21,772.95,386125,6671338,3.86126E+12,-1.7563,6
194,25,2,1776.24,753.56,386024,6671318,3.86025E+12,19.3828,6
195,25,3,1362.79,617.82,385610,6671183,3.85611E+12,5.1385,9
196,25,4,1495.84,1391.75,385743,6671957,3.85744E+12,-0.2523,10
197,25,5,1428.2,1207.71,385676,6671773,3.85677E+12,1.9239,2
198,25,6,1172.17,743.68,385420,6671309,3.85421E+12,2.5289,11
199,25,7,1793.57,1301.06,386041,6671866,3.86042E+12,20.6089,3
200,26,0,1450.14,1422.43,385698,6671987,3.85699E+12,8.0267,10
201,26,1,1877.5,765.18,386125,6671330,3.86126E+12,-0.9198,6
202,26,2,1775.53,759.17,386023,6671324,3.86024E+12,19.4725,6
203,26,3,1370.21,622.66,385618,6671188,3.85619E+12,5.5816,9
204,26,4,1491.2,1398.01,385739,6671963,3.8574E+12,3.2114,10
205,26,5,1422.64,1204.11,385670,6671769,3.85671E+12,0.3635,2
206,26,6,1176.74,746.82,385424,6671312,3.85425E+12,2.316,11
207,26,7,1785.07,1297.68,386033,6671863,3.86034E+12,18.0357,3
208,27,0,1454.96,1415.79,385703,6671981,3.85704E+12,4.8258,10
209,27,1,1877.75,757.14,386125,6671322,3.86126E+12,6.9022,6
210,27,2,1775.27,765.69,386023,6671331,3.86024E+12,7.9788,6
211,27,3,1377.44,627.36,385625,6671192,3.85626E+12,6.341,9
212,27,4,1486.79,1403.99,385734,6671969,3.85735E+12,2.9381,10
213,27,5,1416.54,1200.17,385664,6671765,3.85665E+12,-0.1329,8
214,27,6,1178.65,748.12,385426,6671313,3.85427E+12,2.2269,11
